country,countryiso3code,initial_output_per_worker,final_output_per_worker,annualized_growth,oecd
Australia,AUS,89931.47711399088,110459.67802549989,0.008939240637953661,True
Austria,AUT,110443.14493316047,123752.67753337373,0.00494713803459436,True
Belgium,BEL,117216.36905862243,138538.16194369827,0.007266273480328948,True
Brazil,BRA,30352.869213412705,37877.59126672743,0.0096290707489513,False
Canada,CAN,91751.10192068561,103901.2487970297,0.0054070182763635505,True
Chile,CHL,42830.52520284523,58166.466596609454,0.013306867796400808,True
China,CHN,7263.27776597861,41317.54609317125,0.07558504542394828,False
Colombia,COL,23683.05689282167,36324.465650114005,0.018597026332816877,True
Costa Rica,CRI,34572.30282485877,56668.39984182194,0.021485385576276265,True
Czechia,CZE,58306.91431625627,93321.7082676475,0.02044922031467955,True
Denmark,DNK,108052.09658371347,129350.75562273973,0.007822359291847554,True
Estonia,EST,42309.26086143569,74895.63771861549,0.024829984888508266,True
Finland,FIN,93452.97886557708,109708.71848746802,0.006972627386409498,True
France,FRA,102422.6059002048,116644.40476135441,0.005653155751774873,True
Germany,DEU,101971.394068287,119950.37251244452,0.007060250921974859,True
Greece,GRC,72482.32773741265,81988.70558556044,0.005358205400642739,True
Hungary,HUN,51989.9282518297,77817.80971977295,0.017535665623336295,True
Iceland,ISL,82600.40517920734,111210.68882880305,0.012930952779391307,True
India,IND,8005.108000901479,22691.8928702673,0.045301212190427806,False
Ireland,IRL,106624.4931437271,219901.17423914192,0.031472390663400976,True
Israel,ISR,75646.98614838917,100927.6802383987,0.012535940134480537,True
Italy,ITA,122836.82952565864,120840.73979855671,-0.0007123220356045672,True
Japan,JPN,72959.34744172951,82520.27567423579,0.005353983792289487,True
"Korea, Rep.",KOR,54999.782671830784,94431.31338186454,0.023501891039054264,True
Latvia,LVA,31481.531889919428,72503.25466146767,0.03627088556727719,True
Lithuania,LTU,32737.733830784848,86241.03724545198,0.042113816613533556,True
Luxembourg,LUX,263613.26994161337,251046.4127111616,-0.002123709101240084,True
Mexico,MEX,52319.16477029104,47278.35020575555,-0.004404794121183148,True
Netherlands,NLD,101704.13744143906,122198.0200813917,0.007981515621418776,True
New Zealand,NZL,71725.8175617637,84825.97025645817,0.00729352124230926,True
Norway,NOR,145233.979564819,163616.8425094091,0.00518179452781654,True
Poland,POL,41537.01167563142,86844.98491838056,0.03206695084618106,True
Portugal,PRT,68987.3999409979,81890.30793248466,0.007454641966183047,True
Slovak Republic,SVK,38284.029298563284,76822.0158454193,0.03028080191732377,True
Slovenia,SVN,62127.70096577006,97141.50902930547,0.019433774417266684,True
South Africa,ZAF,30003.013696049165,33675.974663726905,0.005021166607366715,False
Spain,ESP,88664.12567405199,94734.98010291037,0.0028794760071252706,True
Sweden,SWE,95485.68115506895,116624.11783669643,0.008694773667020891,True
Switzerland,CHE,121174.72049984854,143550.45161903693,0.007367525108294816,True
Turkiye,TUR,42623.62433582917,84160.11505084056,0.029578802373947225,True
United Kingdom,GBR,86709.91688401882,103021.43004975015,0.007494294195066285,True
United States,USA,105544.66731087472,144962.28387679125,0.013797362923700263,True
