period,period_label,series_id,series_name,value,unit,source,dataset_id,frequency,model_use,concept_note,proxy_used,aggregation,value_variable_code,value_variable_name,series_code,revision_reference
2000,2000,11,Selic nominal annualized,0.17587743422358462,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2001,2001,11,Selic nominal annualized,0.17467427505121114,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2002,2002,11,Selic nominal annualized,0.19114351237566485,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2003,2003,11,Selic nominal annualized,0.23367874490311535,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2004,2004,11,Selic nominal annualized,0.16244339455134701,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2005,2005,11,Selic nominal annualized,0.19123361853173937,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2006,2006,11,Selic nominal annualized,0.15277963985425472,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2007,2007,11,Selic nominal annualized,0.11979511605622967,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2008,2008,11,Selic nominal annualized,0.1235524151463951,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2009,2009,11,Selic nominal annualized,0.10063022738153367,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2010,2010,11,Selic nominal annualized,0.09802318371975914,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2011,2011,11,Selic nominal annualized,0.11664623712250592,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2012,2012,11,Selic nominal annualized,0.08530306362777572,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2013,2013,11,Selic nominal annualized,0.0817772085545679,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2014,2014,11,Selic nominal annualized,0.10856416441266614,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2015,2015,11,Selic nominal annualized,0.13366477990911582,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2016,2016,11,Selic nominal annualized,0.14079167187974206,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2017,2017,11,Selic nominal annualized,0.10078983841035759,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2018,2018,11,Selic nominal annualized,0.06483119516021486,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2019,2019,11,Selic nominal annualized,0.05939833711121991,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2020,2020,11,Selic nominal annualized,0.027886586269057493,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2021,2021,11,Selic nominal annualized,0.044195037550165996,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2022,2022,11,Selic nominal annualized,0.12431520585062593,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2023,2023,11,Selic nominal annualized,0.13201499582280948,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,"Daily Selic annualized, averaged by month, then averaged within year.",,daily -> monthly mean -> annual mean,,,11,
2000,2000,433,IPCA annual inflation,0.05974339393259931,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2001,2001,433,IPCA annual inflation,0.07673263015152032,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2002,2002,433,IPCA annual inflation,0.12530337079575005,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2003,2003,433,IPCA annual inflation,0.09299949329235124,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2004,2004,433,IPCA annual inflation,0.07600644138060408,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2005,2005,433,IPCA annual inflation,0.056897333458586496,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2006,2006,433,IPCA annual inflation,0.031417749683044116,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2007,2007,433,IPCA annual inflation,0.04457330433237816,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2008,2008,433,IPCA annual inflation,0.05902313417525473,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2009,2009,433,IPCA annual inflation,0.043120283296899764,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2010,2010,433,IPCA annual inflation,0.05909068347266211,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2011,2011,433,IPCA annual inflation,0.0650310904062883,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2012,2012,433,IPCA annual inflation,0.05838568997639171,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2013,2013,433,IPCA annual inflation,0.059108180800137466,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2014,2014,433,IPCA annual inflation,0.06407616596391974,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2015,2015,433,IPCA annual inflation,0.10673497995621717,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2016,2016,433,IPCA annual inflation,0.06288055054224473,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2017,2017,433,IPCA annual inflation,0.029473499083459087,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
